property_id,property_name,category,city
16558,Apex Grands,Luxury,Delhi
16559,Apex Exotica,Luxury,Mumbai
16560,Apex City,Business,Delhi
16561,Apex Blu,Luxury,Delhi
16562,Apex Bay,Luxury,Delhi
16563,Apex Palace,Business,Delhi
17558,Apex Grands,Luxury,Mumbai
17559,Apex Exotica,Luxury,Mumbai
17560,Apex City,Business,Mumbai
17561,Apex Blu,Luxury,Mumbai
17562,Apex Bay,Luxury,Mumbai
17563,Apex Palace,Business,Mumbai
18558,Apex Grands,Luxury,Hyderabad
18559,Apex Exotica,Luxury,Hyderabad
18560,Apex City,Business,Hyderabad
18561,Apex Blu,Luxury,Hyderabad
18562,Apex Bay,Luxury,Hyderabad
18563,Apex Palace,Business,Hyderabad
19558,Apex Grands,Luxury,Bangalore
19559,Apex Exotica,Luxury,Bangalore
19560,Apex City,Business,Bangalore
19561,Apex Blu,Luxury,Bangalore
19562,Apex Bay,Luxury,Bangalore
19563,Apex Palace,Business,Bangalore
17564,Apex Seasons,Business,Mumbai
